ID,Category,Model,Price,Model Year,Manufacturer,Fuel,All Electric Range,Fuel Economy City,Fuel Economy City Units,Fuel Economy Highway,Fuel Economy Highway Units,Gas Fuel Economy City,Gas Fuel Economy Highway,Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Description,Heavy-Duty Power System
1,Sedan/Wagon,RLX Hybrid,"50,950",2016,Acura,Hybrid Electric,,28,mpg,32,mpg,,,Auto,,SI,3.5L,6,,,
2,Sedan/Wagon,A3 Sportback e-tron,"30,900",2016,Audi,Plug-in Hybrid Electric,,,,,,,,Auto,,SI,1.4L,,,,
3,SUV,Q5 Hybrid AWD,"40,900",2016,Audi,Hybrid Electric,,24,mpg,30,mpg,,,Auto,,SI,2,4,,,
4,Sedan/Wagon,ActiveHybrid 5,"62,100",2016,BMW,Hybrid Electric,,23,mpg,30,mpg,,,Auto,,SI,3.0L,6,,,
5,Sedan/Wagon,i3,"42,400",2016,BMW,Electric,,137,Mpge,111,Mpge,,,Auto,,SI,125 kW ,,,,
6,Sedan/Wagon,i3 REX,"46,125",2016,BMW,Plug-in Hybrid Electric,,117,Mpge Electric,,,41,37,Auto,,SI,0.6L,,,,
7,Sedan/Wagon,i8 Plug-in Hybrid,"141,695",2016,BMW,Plug-in Hybrid Electric,,76,Mpge Combined Gas + Electric,,,28,29,Auto,,SI,1.5L,,,,
8,SUV,X5 xDrive40e Plug-in Hybrid,"53,900",2016,BMW,Plug-in Hybrid Electric,,56,Mpge Combined Gas + Electric,,,21,24,Auto,,SI,2.0L,,,,
9,Sedan/Wagon,ELR,"75,000",2016,Cadillac,Plug-in Hybrid Electric,,85,Mpge Electric,,,31,33,Auto,,SI,1.4L,,,,
10,Sedan/Wagon,Malibu,"21,625",2016,Chevrolet,Hybrid Electric,,,,,,,,Auto,,SI,1.8L,4,,,
11,Sedan/Wagon,Spark,"12,660",2016,Chevrolet,Electric,,128,Mpge,108,Mpge,,,Auto,,SI,104 kW,,,,
12,Sedan/Wagon,Volt,"33,170",2016,Chevrolet,Plug-in Hybrid Electric,,106,Mpge Electric,,,42,42,Auto,,SI,1.4L,,,,
13,Sedan/Wagon,500e,"31,800",2016,Fiat,Electric,,122,Mpge,108,Mpge,,,Auto,,SI,83kW,,,,
14,Sedan/Wagon,C-MAX Energi,"31,770",2016,Ford,Plug-in Hybrid Electric,,88,Mpge Combined Gas + Electric,,,40,36,ECVT,,SI,2.0L,,,,
15,Sedan/Wagon,C-MAX Hybrid,"24,170",2016,Ford,Hybrid Electric,,42,mpg,37,mpg,,,ECVT,,SI,2.0L,4,,,
16,Sedan/Wagon,Focus,"17,170",2016,Ford,Electric,,110,Mpge,99,Mpge,,,Auto,,SI,107 kW,
17,Sedan/Wagon,Fusion Energi,"34,800",2016,Ford,Plug-in Hybrid Electric,,88,Mpge Combined Gas + Electric,,,40,36,ECVT,,SI,2.0L,
18,Sedan/Wagon,Fusion Hybrid,"26,575",2016,Ford,Hybrid Electric,,44,mpg,41,mpg,,,ECVT,,SI,2.0L,4
19,Sedan/Wagon,Sonata,"21,750",2016,Hyundai,Hybrid Electric,,39,mpg,43,mpg,,,Auto,,SI,2.4L,4
20,Sedan/Wagon,Sonata Plug-in Hybrid,"26,000",2016,Hyundai,Plug-in Hybrid Electric,,99,Mpge Electric,,,38,41,Auto,,SI,2.4L,
21,Sedan/Wagon,Q50 Hybrid FWD/AWD,"47,050",2016,Infiniti,Hybrid Electric,,,,,,,,Auto,,SI,3.5L,6
22,Sedan/Wagon,Q50S Hybrid FWD/AWD,"47,050",2016,Infiniti,Hybrid Electric,,,,,,,,Auto,,SI,3.5L,6
23,Sedan/Wagon,Q70 Hybrid,"55,900",2016,Infiniti,Hybrid Electric,,,,,,,,Auto,,SI,3.5L,6
24,SUV,QX60 Hybrid,"42,600",2016,Infiniti,Hybrid Electric,,,,,,,,Auto,,SI,2.5L,4
25,Sedan/Wagon,Soul,"15,800",2016,Kia,Hybrid Electric,,120,Mpge,92,Mpge,,,Auto,,SI,50 kW,
26,Sedan/Wagon,CT 200h,"31,250",2016,Lexus,Hybrid Electric,,43,mpg,40,mpg,,,ECVT,,SI,1.8L,4
27,Sedan/Wagon,ES 300h,"41,872",2016,Lexus,Hybrid Electric,,40,mpg,39,mpg,,,Auto,,SI,2.5L,4
28,Sedan/Wagon,GS 450h,"20,707",2016,Lexus,Hybrid Electric,,29,mpg,34,mpg,,,Auto,,SI,3.5L,6
29,Sedan/Wagon,GS 450h F Sport,"50,000",2016,Lexus,Hybrid Electric,,,,,,,,Auto,,SI,3.5L,6
30,Sedan/Wagon,LS 600h L,"120,440",2016,Lexus,Hybrid Electric,,19,mpg,23,mpg,,,Auto,,SI,5.0L,8
31,SUV,NX 300h FWD/AWD,"43,282.00",2016,Lexus,Hybrid Electric,,35,mpg,31,mpg,,,Auto,,SI,2.5L,4
32,SUV,RX 450h FWD/AWD,"52,235",2016,Lexus,Hybrid Electric,,,,,,,,Auto,,SI,3.5L,6
33,Sedan/Wagon,MKZ Hybrid,"35,010",2016,Lincoln,Hybrid Electric,,41,mpg,39,mpg,,,ECVT,,SI,2.0L,4
34,Sedan/Wagon,P1,"1,155,000",2016,McLaren,Plug-in Hybrid Electric,,18,Mpge Combined Gas + Electric,,,16,20,Auto,,SI,3.8L,
35,Sedan/Wagon,B250e,"41,450",2016,Mercedes-Benz,Electric,,85,Mpge,82,Mpge,,,Auto,,SI,132 kW,
36,Sedan/Wagon,C350e Plug-in Hybrid,"40,000",2016,Mercedes-Benz,Plug-in Hybrid Electric,,,,,,,,Auto,,SI,2.0L,
37,Sedan/Wagon,S550e Plug-in Hybrid,"135,015",2016,Mercedes-Benz,Plug-in Hybrid Electric,,58,Mpge Combined Gas + Electric,,,24,30,Auto,,SI,3.0L,
38,Sedan/Wagon,i-MiEV,"23,800",2016,Mitsubishi,Electric,,126,Mpge,99,Mpge,,,Auto,,SI,9 kW,
39,Sedan/Wagon,Leaf,"29,010",2016,Nissan,Electric,,126,Mpge,101,Mpge,,,Auto,,SI,80 kW,
40,SUV,Pathfinder Hybrid 2WD/AWD,"29,780",2016,Nissan,Hybrid Electric,,,,,,,,Auto,,SI,2.5L,4
41,SUV,Cayenne S E-Hybrid,"76,200",2016,Porsche,Plug-in Hybrid Electric,,47,Mpge Electric,,,21,24,Auto,,SI,3.0L,
42,Sedan/Wagon,Panamera S E-Hybrid,"81,346",2016,Porsche,Plug-in Hybrid Electric,,51,Mpge Combined Gas + Electric,,,23,29,Auto,,SI,3.0L,
43,Sedan/Wagon,fortwo,"14,650",2016,Smart,Electric,,122,Mpge,93,Mpge,,,Auto,,SI,55 kW,
44,SUV,XV Crosstrek Hybrid,"21,595",2016,Subaru,Hybrid Electric,,30,mpg,34,mpg,,,ECVT,,SI,2.0L,4
45,Sedan/Wagon,Model S,"76,200",2016,Tesla,Electric,,88,Mpge,90,Mpge,,,Auto,,SI,285 kW,
46,Sedan/Wagon,Model S AWD,"85,500",2016,Tesla,Electric,,95,Mpge,106,Mpge,,,Auto,,SI,350/285 kW,
47,SUV,Model X AWD 90D,"132,000",2016,Tesla,Electric,,90,Mpge,94,Mpge,,,Auto,,SI,193/193 kW,
48,SUV,Model X AWD P90D,"144,000",2016,Tesla,Electric,,89,Mpge,90,Mpge,,,Auto,,SI,193/375 kW,,,,,
49,Sedan/Wagon,Avalon,"32,650",2016,Toyota,Hybrid Electric,,,,,,,,ECVT,,SI,2.5L,4,,,,
50,Sedan/Wagon,Camry,"23,070",2016,Toyota,Hybrid Electric,,43,mpg,39,mpg,,,ECVT,,SI,2.5L,4,,,,
51,SUV,Highlander,"29,990",2016,Toyota,Hybrid Electric,,,,,,,,ECVT,,SI,3.5L,6,,,,
52,Sedan/Wagon,Prius,"24,200",2016,Toyota,Hybrid Electric,,,,,,,,ECVT,,SI,1.8L,4,,,,
53,Sedan/Wagon,Prius c,"19,560",2016,Toyota,Hybrid Electric,,,,,,,,ECVT,,SI,1.5L,4,,,,
54,Sedan/Wagon,Prius Plug-in,"29,990",2016,Toyota,Plug-in Hybrid Electric,,,,,,,,ECVT,,SI,1.8L,,,,,
55,Sedan/Wagon,Prius v,"26,675",2016,Toyota,Hybrid Electric,,44,mpg,40,mpg,,,ECVT,,SI,1.8L,4,,,,
56,SUV,RAV 4,"23,680",2016,Toyota,Hybrid Electric,,,,,,,,ECVT,,SI,2.5L,4,,,,
57,Sedan/Wagon,e-Golf,"18,495",2016,Volkswagen,Electric,,126,Mpge,105,Mpge,,,Auto,,SI,85 kW,,,,,
58,Sedan/Wagon,Jetta Hybrid,"31,120",2016,Volkswagen,Hybrid Electric,,42,mpg,48,mpg,,,Auto,,SI,1.4L,4,,,,
59,Sedan/Wagon,XC90 T8 Plug-in Hybrid,"43,950",2016,Volvo,Plug-in Hybrid Electric,,,,,,,,Auto,,SI,2.0L,,,,,
60,Sedan/Wagon,A3 e-tron,"30,900",2015,Audi,Plug-in Hybrid Electric,,,,,,,,Auto,,,1.4,4,,,,
61,SUV,Q5 Hybrid AWD,"40,900",2015,Audi,Hybrid Electric,,,,,,24,30,Auto,,SI,2.4,4,,,,
62,Sedan/Wagon,ActiveHybrid 3,"50,150",2015,BMW,Hybrid Electric,,,,,,25,33,Auto,,SI,3,6,,,,
63,Sedan/Wagon,ActiveHybrid 5,"62,100",2015,BMW,Hybrid Electric,,,,,,23,30,Auto,,SI,3,6,,,,
64,Sedan/Wagon,ActiveHybrid 7,"84,300",2015,BMW,Hybrid Electric,,,,,,22,30,Auto,,SI,3,6,,,,
65,Sedan/Wagon,i3,"42,400",2015,BMW,Electric,,137,Mpge,111,Mpge,,,Auto,,,125 kW,,,,,
66,Sedan/Wagon,i3 w/Range Extender,"46,250",2015,BMW,Plug-in Hybrid Electric,,117,Mpge Gas + Electric,,NULL,,,Auto,,,0.6L,,,,,
67,Sedan/Wagon,i8,"140,700",2015,BMW,Plug-in Hybrid Electric,,76,Mpge Gas + Electric,,,,,Auto,,,1.5,3,,,,
68,Sedan/Wagon,ELR,"75,000",2015,Cadillac,Plug-in Hybrid Electric,,82,Mpge combined electricity,,NULL,31,35,Auto,,,1.4L,,,,,
69,Sedan/Wagon,Spark,,2015,Chevrolet,Electric,,128,Mpge,109,Mpge,,,Auto,,e-motor,104 kW,,,,,
70,Sedan/Wagon,Volt,,2015,Chevrolet,Plug-in Hybrid Electric,,98,Mpge combined electricity,,NULL,35,40,Auto,,,1.4L,,,,,
71,Sedan/Wagon,500e,,2015,Fiat,Electric,,122,Mpge,108,Mpge,,,Auto,,e-motor,83 kW,,,,,
72,Sedan/Wagon,C-MAX Energi,,2015,Ford,Plug-in Hybrid Electric,,88,Mpge Gas + Electric,,,40,36,ECVT,,,2.0L,4,,,,
73,Sedan/Wagon,C-MAX Hybrid,,2015,Ford,Hybrid Electric,,,,,,42,37,ECVT,,SI,2,4,,,,
74,Sedan/Wagon,Focus,,2015,Ford,Electric,,110,Mpge,99,Mpge,,,Auto,,e-motor,107 kW,,,,,
75,Sedan/Wagon,Fusion Energi,,2015,Ford,Plug-in Hybrid Electric,,88,Mpge Gas + Electric,,,40,36,ECVT,,,2.0L,4,,,,
76,Sedan/Wagon,Fusion Hybrid,,2015,Ford,Hybrid Electric,,,,,,44,41,ECVT,,SI,2,4,,,,
77,Sedan/Wagon,Accord Hybrid,,2015,Honda,Hybrid Electric,,,,,,50,45,ECVT,,SI,2,4,,,,
78,Sedan/Wagon,Accord Plug-in Hybrid,,2015,Honda,Plug-in Hybrid Electric,,115,Mpge Gas + Electric,,,47,46,ECVT,,,2.0L,4,,,,
79,Sedan/Wagon,Civic Hybrid,,2015,Honda,Hybrid Electric,,,,,,44,47,ECVT,,SI,1.5,4,,,,
80,Sedan/Wagon,CR-Z,,2015,Honda,Hybrid Electric,,,,,,36,39,Auto,,SI,1.5,4,,,,
81,Sedan/Wagon,Sonota,,2015,Hyundai,Hybrid Electric,,,,,,36,40,Auto,,SI,2.4,4,,,,
82,Sedan/Wagon,Q50 Hybrid FWD/AWD,,2015,Infiniti,Hybrid Electric,,,,,,29,36,Auto,,SI,3.5,6,,,,
83,Sedan/Wagon,Q50 Hybrid S FWD/AWD,,2015,Infiniti,Hybrid Electric,,,,26,28,29,36,Auto,,SI,3.5,6,,,,
84,Sedan/Wagon,Q70 Hybrid,,2015,Infiniti,Hybrid Electric,,,,,,29,34,Auto,,SI,3.5,6,,,,
85,SUV,QX60 Hybrid,,2015,Infiniti,Hybrid Electric,,,,,,26,28,Auto,,SI,2.5,4,,,,
86,Sedan/Wagon,Optima,,2015,Kia,Hybrid Electric,,36,mpg,40,mpg,,,Auto,,SI,2.4L,4,,,,
87,Sedan/Wagon,Optima,,2015,Kia,Hybrid Electric,,,,,,36,40,Auto,,SI,2.4,4,,,,
88,Sedan/Wagon,Soul,,2015,Kia,Electric,,120,Mpge,92,Mpge,,,Auto,,e-motor,50 kW,,,,,
89,Sedan/Wagon,300h,,2015,Lexus,Hybrid Electric,,,,,,40,39,Auto,,SI,2.5,4,,,,
90,Sedan/Wagon,CT 200h,,2015,Lexus,Hybrid Electric,,,,,,43,40,ECVT,,SI,1.8,4,,,,
91,Sedan/Wagon,GS 450h,,2015,Lexus,Hybrid Electric,,,,,,29,34,Auto,,SI,3.5,6,,,,
92,Sedan/Wagon,GS 450h F Sport,,2015,Lexus,Hybrid Electric,,,,,,,,Auto,,SI,3.5,6,,,,
93,Sedan/Wagon,LS 600h L,,2015,Lexus,Hybrid Electric,,,,,,19,23,Auto,,SI,5,8,,,,
94,Sedan/Wagon,NX 300h,,2015,Lexus,Hybrid Electric,,,,,,35,31,Auto,,SI,2.5,4,,,,
95,SUV,RX 450h,,2015,Lexus,Hybrid Electric,,,,,,32,28,Auto,,SI,3.5,6,,,,
9,Sedan/Wagon,MKZ Hybrid,,2015,Lincoln,Hybrid Electric,,,,,,41,39,ECVT,,SI,2,4,,,,
97,Sedan/Wagon,P1,,2015,McLaren,Plug-in Hybrid Electric,,,NULL,,NULL,16,20,Auto,,SI,3.8L,8,,,,
98,Sedan/Wagon,B-Class Electric,,2015,Mercedes-Benz,Electric,,85,Mpge,83,Mpge,,,Auto,,e-motor,132 kW,,,,,
99,Sedan/Wagon,E400 Hybrid,,2015,Mercedes-Benz,Hybrid Electric,,,,,,24,30,Auto,,SI,3.5,6,,,,
