"State","Electric_Vehicle_Registrations","Population","Percentage","CO2","NaturalGas","Nuclear","Coal","Other","Hydro","Biomass","Geothermal","Solar","Wind","Oil","AllElectric","PlugInHybrid","Hybrid","Gasoline","co2_free","co2_producing"
"Alabama",773,4849377,0.16,4067,34.25,25.73,25.49,6.21,6.21,2.04,0,0,0,0.06,41,59,6258,11435,33.98,66.02
"Alaska",155,736732,0.21,4076,46.34,0,10.59,0,24.76,3.49,0,0,0,12.29,4076,5870,6258,11435,28.25,71.75
"Arizona",4361,6731484,0.65,4594,23.01,27.3,36.04,5.17,2.18,0.19,0,0,0,0.05,4594,6197,6258,11435,29.67,70.33
"Arkansas",374,2966369,0.13,5062,39,24.83,39,0.02,6.63,2.68,0,0,0,0.22,5062,6492,6258,11435,34.14,65.86
"California",126283,38802500,3.25,2706,59.09,9.42,20,0.46,7.11,3.52,0,0,0,0.05,2706,5006,6258,11435,20.05,79.95
"Colorado",4001,5355866,0.75,6936,22.53,0,60.09,0.08,2.31,0.25,0,0,0,0.02,6936,7674,6258,11435,2.56,97.44
"Connecticut",2476,3596677,0.69,2336,46.06,46.25,1.59,1.53,1.21,2.14,0,0,0,1.16,2336,4772,6258,11435,49.6,50.4
"Delaware",383,935614,0.41,3263,42.45,0,13.05,42.45,0,1.3,0,0,0,0.68,2363,5375,6258,11435,1.3,98.7
"District of Columbia",493,658893,0.75,6054,50,0,0,0,0,0,0,0,0,50,6054,7118,6258,11435,0,100
"Florida",10383,19893297,0.52,4830,65.73,11.85,18.06,1.26,0.09,2,0,0,0,0.91,4830,6346,6258,11435,13.94,86.06
"Georgia",15551,10097343,1.54,4643,39.07,26.38,28.97,0.08,1.72,3.41,0,0,0,0.25,4643,6228,6258,11435,31.51,68.49
"Hawaii",3050,1419561,2.15,6381,67.32,0,13.08,3.67,0.73,7.76,2.65,0,4.69,67.32,6381,7324,6258,11435,15.83,84.17
"Idaho",409,1634464,0.25,767,16.22,0,0.31,34.98,34.98,2.56,0.42,0,10.53,0,767,3783,6258,11435,48.49,51.51
"Illinois",6694,12880580,0.52,4005,5.57,50.21,38.09,0.14,0.07,0.29,0,0.03,0,0,4005,5825,6258,11435,50.6,49.4
"Indiana",1697,6596855,0.26,8382,16.06,0,76.77,0.41,0.38,0.39,0,0.22,4.44,1.32,8382,8587,6258,11435,5.43,94.57
"Iowa",928,3107126,0.3,5366,4.28,9.04,52.4,1.39,1.39,0.45,0,0,30.84,22,5366,6684,6258,11435,41.72,58.28
"Kansas",750,2904021,0.26,5447,3.28,18.84,53.69,0,0,0.15,0,0,23.85,0.23,5447,6735,6258,11435,42.84,57.16
"Kentucky",701,4413457,0.16,8965,7.19,0,86.8,0.06,4.11,0.53,0,0,0,1.31,8965,8954,6258,11435,4.64,95.36
"Louisiana",527,4649676,0.11,4588,63.05,14.54,14.41,0.4,0.95,2.59,0,0,0,4.07,4588,6193,6258,11435,18.08,81.92
"Maine",695,1330089,0.52,1559,25.38,0,0.76,3.19,29.74,26.08,0,0,10.47,4.39,1559,4283,6258,11435,66.29,33.71
"Maryland",5028,5976407,0.84,4378,12.42,40.24,38.26,0.88,4.47,1.49,0,0.39,1.19,0.67,4378,6061,6258,11435,47.78,52.22
"Massachusetts",4612,6745408,0.68,3803,64.3,15.14,7,2.73,1.37,3.75,0,2.14,0.68,2.57,3803,5698,6258,11435,23.08,76.92
"Michigan",8844,9909877,0.89,5520,18.63,25.97,46.94,0.35,0.88,2.26,0,0,4.23,0.74,5520,6781,6258,11435,33.34,66.66
"Minnesota",2775,5457173,0.51,5144,6.78,22.27,48.99,0.7,0.96,3.09,0,0,16.98,0.22,5144,6544,6258,11435,43.3,56.7
"Mississippi",201,2994079,0.07,4140,69.76,18.08,9.87,0,0,2.27,0,0,0,2,4140,5911,6258,11435,20.35,79.65
"Missouri",1859,6063589,0.31,8327,4.6,10.55,82.34,0.03,0.81,0.13,0,0.01,1.29,0.24,8327,8552,6258,11435,12.79,87.21
"Montana",362,1023579,0.35,5670,2.57,0,55.13,1.03,32.88,0.04,0,0,6.65,1.71,5670,6875,6258,11435,39.57,60.43
"Nebraska",579,1881503,0.31,5943,1.19,25.57,59.82,2.68,2.69,0.17,0,0,7.81,0.06,5943,7048,6258,11435,36.24,63.76
"Nevada",1509,2839099,0.53,4650,63.26,0,18.04,0,6.58,0.89,7.52,2.79,0.83,0.04,4650,6232,6258,11435,18.61,81.39
"New Hampshire",761,1326813,0.57,1886,30.01,47.04,4.65,0.26,6.94,8.16,0,0,2.08,0.87,1886,4489,6258,11435,64.22,35.78
"New Jersey",6021,8938175,0.67,2529,49.99,44.36,2.34,0.7,0,1.13,0,1.1,0.03,0.39,2529,4859,6258,11435,46.62,53.38
"New Mexico",637,2085572,0.31,7446,28.88,0,62.21,0,0.37,0.04,0.01,1.97,6.29,0.2,7446,7996,6258,11435,8.68,91.32
