id,manufacturer,model,model_year,price,category,fuel_economy_city,fuel_economy_city_units,fuel_economy_highway,fuel_economy_highway_units,gas_fuel_economy_city,gas_fuel_economy_highway,fuel,engine_type,engine_size,tot_sales,units
1,Acura,RLX Hybrid,2016,50950,Sedan/Wagon,28,mpg,32,mpg,NA,NA,Hybrid Electric,Hybrid,3.5,2834,Liter
2,Audi,A3 Sportback e-tron,2016,30900,Sedan/Wagon,NA,,NA,,NA,NA,Plug-in Hybrid Electric,Hybrid,1.4,1504,Liter
3,Audi,Q5 Hybrid AWD,2016,40900,SUV,24,mpg,30,mpg,NA,NA,Hybrid Electric,Hybrid,2,1504,Liter
4,BMW,ActiveHybrid 5,2016,62100,Sedan/Wagon,23,mpg,30,mpg,NA,NA,Hybrid Electric,Hybrid,3,771,Liter
5,BMW,i3,2016,42400,Sedan/Wagon,137,Mpge,111,Mpge,NA,NA,Electric,Electric,125,17096,KWh
6,BMW,i3 REX,2016,46125,Sedan/Wagon,117,Mpge Electric,NA,,41,37,Plug-in Hybrid Electric,Hybrid,0.6,17096,Liter
7,BMW,i8 Plug-in Hybrid,2016,141695,Sedan/Wagon,76,Mpge Combined Gas + Electric,NA,,28,29,Plug-in Hybrid Electric,Hybrid,1.5,771,Liter
8,BMW,X5 xDrive40e Plug-in Hybrid,2016,53900,SUV,56,Mpge Combined Gas + Electric,NA,,21,24,Plug-in Hybrid Electric,Hybrid,2,771,Liter
9,Cadillac,ELR,2016,75000,Sedan/Wagon,85,Mpge Electric,NA,,31,33,Plug-in Hybrid Electric,Hybrid,1.4,2340,Liter
10,Chevrolet,Malibu,2016,21625,Sedan/Wagon,NA,,NA,,NA,NA,Hybrid Electric,Hybrid,1.8,38204,Liter
11,Chevrolet,Spark,2016,12660,Sedan/Wagon,128,Mpge,108,Mpge,NA,NA,Electric,Electric,104,4334,KWh
12,Chevrolet,Volt,2016,33170,Sedan/Wagon,106,Mpge Electric,NA,,42,42,Plug-in Hybrid Electric,Hybrid,1.4,88424,Liter
13,Fiat,500e,2016,31800,Sedan/Wagon,122,Mpge,108,Mpge,NA,NA,Electric,Electric,83,5240,KWh
